s.no,name,roll no,subject ,marks, gmail id,age
1,rahul,101,hindi,112,rahulgmail.com,20
2,priya,102,eng,65,priyagmail.com,16
3,siya,103,sci,74,none,17
4,diya,104,social,84,diyagmail.com,15
5,ruhi,97,maths,62,ruiigmail.com,110
6,none,105,102,117,gmail.com,17
7,harsh,105,hindi,44,harshgmail.com,16
8,sumit,107,bio,80,sumgmail.com,15
9,geet,108,chem,53,geetgmail.com,17
10,neel,109,eng,79,none,14
11,none,110,bio,82,hiyagmail.com,16
12,kartik,111,maths,93,kargmail.com,75
13,tripti,112,phy,56,75gmail.com,15
14,pari,113,social,67,parigmail.com,18
15,vini,114,300,94,vinigmail.com,17
